,open,high,low,close,week_days,week_days_exp_1,week_days_exp_inv_1,week_days_pow_1,week_days_exp_2,week_days_exp_inv_2,week_days_pow_2,week_days_exp_3,week_days_exp_inv_3,week_days_pow_3,week_days_exp_4,week_days_exp_inv_4,week_days_pow_4,week_days_exp_5,week_days_exp_inv_5,week_days_pow_5,week_days_exp_6,week_days_exp_inv_6,week_days_pow_6,week_days_exp_7,week_days_exp_inv_7,week_days_pow_7,week_days_exp_8,week_days_exp_inv_8,week_days_pow_8,week_days_exp_9,week_days_exp_inv_9,week_days_pow_9,week_days_exp_10,week_days_exp_inv_10,week_days_pow_10,week_days_exp_11,week_days_exp_inv_11,week_days_pow_11,week_days_exp_12,week_days_exp_inv_12,week_days_pow_12,week_days_exp_13,week_days_exp_inv_13,week_days_pow_13,week_days_exp_14,week_days_exp_inv_14,week_days_pow_14,week_days_exp_15,week_days_exp_inv_15,week_days_pow_15,week_days_exp_16,week_days_exp_inv_16,week_days_pow_16,week_days_exp_17,week_days_exp_inv_17,week_days_pow_17,week_days_exp_18,week_days_exp_inv_18,week_days_pow_18,week_days_exp_19,week_days_exp_inv_19,week_days_pow_19
open,1.0,0.9995414639387166,0.9995313494660408,0.9992983611046194,0.012882549707663131,0.018821426125771857,-0.008515932206074403,0.012882549707663131,0.016880911235573143,-0.00641380218169785,0.014267050592005616,0.00956463870918575,-0.00565510613610543,0.015375855148711554,0.006914196699862011,-0.0053838423082873885,0.01648287956031967,0.005992107286496044,-0.005285370589335587,0.017712116905782033,0.005660519269631855,-0.005249335491600532,0.019040881894686522,0.005539570085151062,-0.00523610528989821,0.02030557878441587,0.005495215349540568,-0.005231241767562931,0.021218783940596814,0.005478917088973467,-0.00522945306586027,0.0214741535264037,0.0054729238559739326,-0.005228795105413861,0.020936512604884598,0.005470719415466327,-0.005228553064246648,0.019742302815070223,0.005469908494043217,-0.005228464023489279,0.018187983758163186,0.005469610179073055,-0.00522843126738905,0.01654923327019325,0.005469500435987439,-0.005228419217115797,0.014997084263653116,0.00546946006387949,-0.005228414784070971,0.01360785163246862,0.005469445211825969,-0.005228413153245062,0.01240052868909275,0.00546943974806356,-0.005228412553298105,0.011366653771219397,0.005469437738057266,-0.005228412332589756,0.010487348495260899,0.0054694369986180305,-0.005228412251395751,0.009741502591168924
high,0.9995414639387166,1.0,0.9992565558296067,0.9996780459231356,0.012384196445305185,0.01846870413960346,-0.008027854643400337,0.012384196445305185,0.016659407425677675,-0.005996768502013345,0.013812514407712822,0.009407985206362861,-0.005273469217318942,0.014971340147971288,0.006770768943037042,-0.005016173550628305,0.016120810105743368,0.005851959450561019,-0.00492294887789374,0.01738177443293307,0.005521378212213214,-0.004888857710296799,0.018732924527389547,0.005400773354785412,-0.004876344435998841,0.020013731441272116,0.005356541819021471,-0.0048717448969163015,0.020940463976474148,0.005340288414157291,-0.004870053341630519,0.0212100094440184,0.005334311619587581,-0.004869431123732772,0.020688588201649805,0.005332113217912864,-0.0048692022321068,0.01951182475826491,0.005331304516898492,-0.0048691180288754216,0.017974365970450858,0.005331007018614995,-0.004869087052412388,0.01635048582641131,0.005330897575950482,-0.00486907565683251,0.014810669572896909,0.00533085731435837,-0.004869071464636174,0.013431303795735995,0.005330842502960977,-0.00486906992241347,0.01223173167666586,0.005330837054155053,-0.0048690693550617675,0.011203902097121667,0.005330835049651006,-0.004869069146344643,0.010329310303328933,0.0053308343122358435,-0.004869069069561871,0.009587152900255953
low,0.9995313494660408,0.9992565558296067,1.0,0.9996132370541554,0.01289853390580149,0.018539270492292224,-0.008847523907811135,0.01289853390580149,0.016730139082458677,-0.0068537162510775886,0.014154799484326824,0.009626109233658179,-0.006123762185600022,0.015176648188079735,0.007054760795724459,-0.005861054796147327,0.016226301809343188,0.0061613480130485775,-0.0057654358659225404,0.01741552324189858,0.0058402574288005885,-0.005730409318914086,0.01871568662536219,0.005723163311082827,-0.005717544553753748,0.01996306872718234,0.005680225879592113,-0.0057128147092681825,0.02087378490593823,0.00566444889549141,-0.0057110750820940645,0.021145096426991347,0.005658647413098514,-0.005710435161238763,0.020641372383666708,0.005656513511493872,-0.005710199754582249,0.01949347709056537,0.005655728539584948,-0.005710113154269984,0.017990349639839903,0.005655439770867233,-0.00571008129592479,0.016401777411521015,0.005655333539646166,-0.005710069575912504,0.014895615207025151,0.005655294459480206,-0.005710065264363298,0.013547044987128614,0.005655280082705487,-0.0057100636782329685,0.012375029914324433,0.005655274793788401,-0.005710063094728605,0.011371546481139938,0.005655272848104073,-0.005710062880069256,0.010518297225639055,0.00565527213232755,-0.005710062801100441,0.009794753718498153
close,0.9992983611046194,0.9996780459231356,0.9996132370541554,1.0,0.012346052082280018,0.01821391490173205,-0.00810408769567269,0.012346052082280018,0.01639658208347958,-0.00607516110075036,0.013708537192959808,0.009247801760856822,-0.0053427252819337485,0.014809028046788925,0.006645057065582965,-0.005080694575422373,0.0159102928044617,0.005737520697871517,-0.004985546930293813,0.017131292607298745,0.0054108796378563445,-0.004950724203102371,0.018449016296910405,0.005291695854583304,-0.004937938556768634,0.019703277238104826,0.005247983238778946,-0.004933238379328865,0.020612899994493644,0.005231920210283128,-0.004931509741998333,0.020877875130340024,0.005226013380369459,-0.004930873874361111,0.020365122925079436,0.005223840707657082,-0.004930639960191657,0.019207161455995995,0.005223041470500108,-0.00493055390912297,0.01769355720948034,0.005222747453599427,-0.004930522252858681,0.016094227807508483,0.005222639291640351,-0.004930510607191245,0.014577126835350672,0.005222599501190168,-0.004930506322992453,0.013217631120984565,0.005222584863115769,-0.00493050474692386,0.012034946455884795,0.005222579478071797,-0.0049305041671209755,0.011021273060538017,0.005222577497024381,-0.00493050395382332,0.010158482395325458,0.005222576768238476,-0.004930503875355487,0.009426151982948565
