epoch,accuracy,loss,val_accuracy,val_loss
0,0.29448783,0.1273538979391257,0.0514322929084301,0.119022898375988
1,0.19010417,0.0717574850552612,0.18359375,0.09539172301689784
2,0.27907985,0.04798598401248455,0.4654947817325592,0.0343463576088349
3,0.35243055,0.028806731363551483,0.4908854067325592,0.019220021242896717
4,0.4878472,0.015622238486280872,0.189453125,0.01929960275689761
5,0.35785592,0.011683192291659199,0.0807291641831398,0.010310609514514605
6,0.4249132,0.0075435071727649,0.26171875,0.013498829871726533
7,0.47243923,0.01656003695421128,0.48046875,0.010854707099497318
8,0.40993923,0.007059234773300381,0.2037760466337204,0.006044423712107043
9,0.39214408,0.0088764755475697,0.4733072817325592,0.006958499550819397
10,0.5173611,0.0033020694714246523,0.474609375,0.014247405963639418
11,0.4418403,0.011379671606442167,0.4557291567325592,0.010787294246256351
12,0.48046875,0.007479362474340532,0.490234375,0.005175509412462513
13,0.5755208,0.0025857145018461677,0.4576822817325592,0.008493048061306277
14,0.53233504,0.00396534971271952,0.4811197817325592,0.015074979358663162
15,0.56011283,0.009265747412832247,0.4563802182674408,0.00455297560741504
16,0.55164933,0.002101152579093145,0.4915364682674408,0.009938798068712154
17,0.6440972,0.0044391846620581215,0.4915364682674408,0.011246681834260622
18,0.5957031,0.008889384270231757,0.4563802182674408,0.004398405862351258
19,0.54296875,0.0017020308425546521,0.4915364682674408,0.007555976044386625
20,0.64539933,0.002404926280077133,0.4557291567325592,0.01130595337599516
21,0.53342015,0.005684988734881497,0.455078125,0.011538998068620762
22,0.6119792,0.0026514609861705038,0.4915364682674408,0.009062984182188908
23,0.6373698,0.005857961161786484,0.45703125,0.003919771562019984
24,0.5887587,0.0017198944826506907,0.4915364682674408,0.007815758464857936
25,0.65559894,0.004345048839847247,0.462890625,0.004311446255693833
26,0.61935765,0.00199338527292841,0.478515625,0.008411074639298022
27,0.6475694,0.004448513112341364,0.4915364682674408,0.004288078052923083
28,0.64605033,0.002133354835677892,0.4915364682674408,0.00795747603600224
29,0.64171004,0.004505641706701782,0.4765625,0.00394867523573339
30,0.6345486,0.001628258472515477,0.4765625,0.007282831783716877
31,0.63411456,0.004098401948188742,0.4837239682674408,0.003787072685857614
32,0.6503906,0.0017510548221050864,0.4915364682674408,0.006947676495959361
33,0.6397569,0.0038199559138673875,0.4596354067325592,0.0037936770046750703
34,0.6187066,0.0016661837386588256,0.4765625,0.0065816287727405625
35,0.63346356,0.00365874195833587,0.4609375,0.0035633721854537725
36,0.62630206,0.0016503220540471375,0.486328125,0.0060348799064134555
37,0.62738717,0.003365011821087036,0.4596354067325592,0.0034500444307923317
38,0.62369794,0.0015151705140144462,0.4915364682674408,0.005907172958056132
39,0.65842015,0.003271476016379893,0.4609375,0.0033663177552322545
