epoch,acc,loss,val_acc,val_loss
0,0.7825520833333334,nan,1.0,nan
1,0.7825520833333334,nan,1.0,nan
2,0.7825520833333334,nan,1.0,nan
3,0.7825520833333334,nan,1.0,nan
0,0.1427951388888889,0.06549405886067285,1.0,0.18641329308350882
1,0.5544704861111112,0.05331707580222024,1.0,0.16496705263853073
2,0.7825520833333334,0.04460994857880804,1.0,0.14880948762098947
3,0.7825520833333334,0.04237830959674385,1.0,0.14005986352761587
4,0.7825520833333334,0.042027481417689055,1.0,0.1359697331984838
5,0.7825520833333334,0.04146163776102993,1.0,0.13293900589148203
6,0.7825520833333334,0.04098616654260291,1.0,0.13079591592152914
7,0.7825520833333334,0.040137863252311945,1.0,0.12839472045501074
8,0.7825520833333334,0.039320228440273136,1.0,0.12590491523345312
9,0.7825520833333334,0.03821966883778158,1.0,0.12283450365066528
10,0.7825520833333334,0.03706386412442145,1.0,0.11902482310930888
11,0.7825520833333334,0.0357487392741152,1.0,0.11542418599128723
12,0.7825520833333334,0.03394109869582786,1.0,0.11045612146457036
13,0.7825520833333334,0.03185455592918313,1.0,0.10303062945604324
14,0.7825520833333334,0.02984030270535085,1.0,0.09872520963350932
15,0.7825520833333334,0.027795818116929796,0.9947916666666666,0.09653869271278381
16,0.7805989583333334,0.026420577597390447,0.951171875,0.09580923989415169
17,0.7740885416666666,0.02566903741616342,0.8899739583333334,0.09605515003204346
18,0.7619357638888888,0.025232933409925964,0.876953125,0.09462742507457733
19,0.7604166666666666,0.024830896174535155,0.8723958333333334,0.09494551395376523
0,0.4490017361111111,0.05744891013536188,1.0,0.1410251905520757
1,0.7825520833333334,0.0476653340479566,1.0,0.12575617184241614
2,0.7825520833333334,0.04717851114562816,1.0,0.12444530427455902
3,0.7825520833333334,0.04534335475828913,1.0,0.12218957891066869
4,0.7825520833333334,0.04405935983070069,1.0,0.12017578383286794
5,0.7825520833333334,0.04201535681366093,1.0,0.11574665457010269
6,0.7825520833333334,0.039986003655940294,1.0,0.10946902632713318
7,0.7825520833333334,0.03654388330566386,1.0,0.09814068799217542
8,0.7825520833333334,0.03214049841173821,1.0,0.08598898599545161
9,0.8031684027777778,0.027988411964745157,0.9934895833333334,0.07715558012326558
10,0.7775607638888888,0.026129687554202974,0.9251302083333334,0.072605616102616
11,0.7649739583333334,0.024704370570058625,0.90234375,0.0707608809073766
12,0.7654079861111112,0.023196486807945702,0.8912760416666666,0.0690494254231453
13,0.7684461805555556,0.02177463984116912,0.8860677083333334,0.06844943016767502
14,0.7710503472222222,0.02081690457028647,0.8860677083333334,0.06786516184608142
15,0.7756076388888888,0.01922288499513848,0.9231770833333334,0.06800898785392444
16,0.7938368055555556,0.018367983142120972,0.8899739583333334,0.06747498611609141
17,0.8003472222222222,0.018067063382154122,0.9140625,0.06773852556943893
18,0.7979600694444444,0.01720108242524374,0.9231770833333334,0.06733076274394989
19,0.8107638888888888,0.017214654886629432,0.9602864583333334,0.06691120564937592
0,0.4694010416666667,0.05709207885795169,1.0,0.1581977754831314
1,0.7825520833333334,0.04838467032338182,1.0,0.1398483489950498
2,0.7825520833333334,0.04727150282512108,1.0,0.13314555337031683
3,0.7825520833333334,0.04513321320215861,1.0,0.12729006012280783
4,0.7825520833333334,0.04230590842457281,1.0,0.11941837271054585
5,0.7825520833333334,0.03826426309792118,1.0,0.10867625971635182
6,0.7825520833333334,0.032738446911227785,1.0,0.09641379366318385
7,0.7510850694444444,0.028739608979473513,1.0,0.09480442230900128
8,0.7358940972222222,0.02664014184847474,0.8736979166666666,0.09110977252324422
9,0.7766927083333334,0.02552933227788243,0.8678385416666666,0.08691237742702167
10,0.78125,0.025222496789259214,0.8697916666666666,0.08341074114044507
11,0.779296875,0.024695332446652982,0.8658854166666666,0.08593212316433589
12,0.7925347222222222,0.02434347458701167,0.8665364583333334,0.08485133200883865
13,0.7805989583333334,0.023173044642640486,0.8671875,0.08308312793572743
14,0.7758246527777778,0.022367327732758388,0.8678385416666666,0.08104064563910167
15,0.7719184027777778,0.02213368673498432,0.8684895833333334,0.08098740006486575
16,0.7710503472222222,0.021178440604772832,0.8684895833333334,0.07866547753413518
17,0.7701822916666666,0.020950082327342696,0.87109375,0.07685775930682819
18,0.7645399305555556,0.020452797231781814,0.8704427083333334,0.07718409101168315
19,0.7712673611111112,0.020395241419060364,0.87109375,0.0776111160715421
0,0.4822048611111111,0.05241624700526396,1.0,0.13858450700839361
1,0.7825520833333334,0.04917519549942679,1.0,0.12925888101259866
2,0.7825520833333334,0.047971096717649035,1.0,0.1286633163690567
3,0.7825520833333334,0.04656226203466455,1.0,0.12544973691304526
4,0.7825520833333334,0.04628603739870919,1.0,0.12393597016731898
5,0.7825520833333334,0.04581870299039616,1.0,0.12444368749856949
6,0.7825520833333334,0.044439607584435076,1.0,0.12252639979124069
7,0.7825520833333334,0.04409314298795329,1.0,0.12174308051665624
8,0.7825520833333334,0.04265837940490908,1.0,0.11888874073823293
9,0.7825520833333334,0.04134605698184007,1.0,0.11540828893582027
10,0.7825520833333334,0.038588605614172086,1.0,0.1056956114868323
11,0.7825520833333334,0.036084935922796525,1.0,0.09788726518551509
12,0.7825520833333334,0.030439204355287883,0.9765625,0.08509935438632965
13,0.7736545138888888,0.02764134209913512,0.8743489583333334,0.08285428459445636
14,0.7836371527777778,0.025807163833330076,0.865234375,0.08556681623061498
15,0.7866753472222222,0.024998899626856048,0.8645833333333334,0.08342724045117696
