green_red_vector_pow_2,green_red_vector_pow_4,green_red_vector_pow_6,green_red_vector_pow_8
224.07515625000002,50209.675648461925,11250740.916190928,2521011528.7237506
219.04781249999994,47981.944161035135,10510339.90797189,2302266965.4726934
217.2009375,47176.24725087891,10246725.130622696,2225598304.6760597
214.9934375,46222.178168066406,9937464.97309005,2136489754.6004748
224.16609375000002,50250.43758713379,11264444.303135958,2525106477.6984286
0.0,0.0,0.0,0.0
234.28453125,54889.24158303222,12859700.23494871,3012828841.560473
233.91171875,54714.6921685791,12798407.686029501,2993697539.102371
236.39687499999997,55883.482509765614,13210680.629425747,3122963617.419279
236.3953125,55882.74377197265,13210418.677332902,3122881051.483948
0.0,0.0,0.0,0.0
234.28390624999997,54888.948727758776,12859597.317895293,3012796692.438532
234.66453124999998,55067.44222678222,12922375.517284306,3032423193.3999977
235.43265625,55428.53562893067,13049687.375166913,3072322561.967637
239.48687500000003,57353.96329726563,13735521.438926844,3289477105.9040933
242.584375,58847.178994140624,14275406.136806732,3462990475.5684257
0.0,0.0,0.0,0.0
246.30546875000002,60666.38393615723,14942462.132762678,3680410139.8892365
250.23578125000003,62617.946217797864,15669250.692081133,3921007188.5350256
0.0,0.0,0.0,0.0
251.02546874999996,63013.785961157206,15818065.158611655,3970737221.158533
254.81468750000002,64930.52496572266,16545251.428351568,4215973072.3243337
258.00562499999995,66566.9025316406,17174635.291990016,4431152512.65694
261.84171875000004,68561.08567795412,17952152.51328152,4700622469.339766
262.23984375000003,68769.73565002444,18034164.731591217,4729276541.374243
262.23890625,68769.2439511963,18033971.317401152,4729208913.61915
263.4570312499999,69409.60731506343,18286449.08345489,4817693587.631307
266.09937499999995,70808.8773753906,18842198.014043078,5013897115.163103
265.90828125,70707.21403732912,18801633.756642062,4999510116.920671
267.93984375,71791.75986877442,19235872.92177694,5154056785.05577
268.14343750000006,71900.90307431642,19279755.30970153,5169739862.9022455
268.551875,72120.10956601561,19367990.64915893,5201310203.814096
269.7875,72785.29515625,19636562.8169668,5297699190.9824295
268.5584375,72123.63435244141,19369410.54851299,5201818632.204667
267.7340625,71681.52822275391,19191586.75728631,5138241488.349466
267.12796875000004,71357.351688501,19061544.41192866,5091871639.996417
0.0,0.0,0.0,0.0
269.1667187500001,72450.72248264163,19501323.241719507,5249107188.256754
268.34671875,72009.96146389158,19323636.87614925,5185434550.03115
268.34578125,72009.45831467287,19323434.3488402,5185362086.772609
269.37562499999996,72563.2273441406,19546764.717844963,5265421962.597434
271.01468750000004,73448.96084072268,19905747.169448193,5394749848.582012
274.7409374999999,75482.58273837887,20738155.546463523,5697620296.856212
0.0,0.0,0.0,0.0
279.09984375000005,77896.72278127444,21740963.156890765,6067899420.06272
279.51703125,78129.77075881348,21838601.5747466,6104261078.824745
277.84953125000004,77200.36201584476,21450084.398432773,5959895895.377485
278.8925,77781.02655625,21692544.94883895,6049888092.144067
281.19234375,79069.1341836182,22233635.159374844,6251927980.547019
291.5678124999999,85011.78928603508,24786701.438840177,7227004317.613231
292.62484374999997,85629.29917971187,25057260.292885188,7332376878.008606
292.62484374999997,85629.29917971187,25057260.292885188,7332376878.008606
293.26656249999996,86005.27668056639,25222471.84897111,7396907616.900776
293.90953124999993,86382.8125595947,25388731.947447088,7461990305.706072
301.51312500000006,90910.16454726565,27410607.80691028,8264658018.010917
309.54046875000006,95815.30179396976,29658713.43072812,9180572057.869505
305.65703124999993,93426.22075256343,28556381.276135676,8728458724.106714
303.2231249999999,91944.26353476559,27879626.914835166,8453747596.950426
307.34765625,94462.58180236815,29032853.120281752,8923179360.769096
323.97265625,104958.28199768068,34003613.41422517,11016240959.90466
331.7415625,110052.4642899414,36508976.46052061,12111544896.288828
330.11984375000003,108979.11123752443,35976167.17374543,11876446686.120722
0.0,0.0,0.0,0.0
