magnitudeTimesScarcity_by_prior_holidays_pow_2,magnitudeTimesScarcity_by_prior_holidays_pow_3,magnitudeTimesScarcity_by_prior_holidays_pow_4,magnitudeTimesScarcity_by_prior_holidays_pow_5
781.9734375,21866.93940258879,611482.4569555664,17099365.77224655
760.0826562499999,20955.172209448712,577725.6443320556,15927662.955133956
756.960625,20826.195166370435,572989.3878003908,15764609.709507745
766.654375,21227.528251578606,587758.9307066406,16274177.40450884
767.6582812500001,21269.236921951462,589299.2367717042,16327505.8590043
765.9162500000001,21196.879243717187,586627.7020140627,16235034.262050705
764.8748437499999,21153.662265619638,585033.5266015867,16179904.120156089
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
7356.276562499999,630938.5633365638,54114804.863986805,4641358565.850185
7110.34453125,599564.5785622757,50556999.35307678,4263110722.311488
7074.987187500002,595097.9943382423,50055443.70328919,4210310685.250013
7034.165156249998,589954.9391811476,49479479.44540156,4149840476.9456153
6940.15453125,578167.5473780251,48165744.917629905,4012572123.7573
6915.23578125,575056.4626569567,47820485.9102803,3976651026.804442
6781.657500000001,558475.0538329916,45990878.44730626,3787386537.389412
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
