data_magnitude,data_magnitude_pow_2,data_magnitude_pow_3,data_magnitude_pow_4,data_magnitude_pow_5,data_magnitude_pow_6,data_magnitude_pow_7,data_magnitude_pow_8,data_magnitude_pow_9
14.969140130615386,224.07515625000002,3354.2124136957887,50209.675648461925,751595.6706945735,11250740.916190928,168413917.34771013,2521011528.7237506,37737374844.36274
14.800263933457403,219.0478125,3241.96543904649,47981.94416103516,710145.4376237356,10510339.907971898,155555804.66833448,2302266965.472696,34074158734.27596
14.737738547687702,217.2009375,3201.0506291876573,47176.24725087891,695271.197644524,10246725.130622696,151013555.94513842,2225598304.6760597,32800285926.492764
14.662654517514897,214.9934375,3152.3744975954314,46222.178168066406,677739.8295253774,9937464.97309005,145709615.68032488,2136489754.6004748,31326611151.916946
14.972177321618924,224.16609375000002,3356.2545051196516,50250.43758713379,752358.4620435117,11264444.303135958,168653257.5360517,2525106477.6984286,37806341940.06946
15.218846252262358,231.61328125,3524.88691732575,53644.71205139161,816410.6249570145,12424827.77993423,189091543.69365728,2877755131.0767198,43796112891.51571
15.306355910209327,234.28453125,3586.042419569059,54889.24158303222,840154.2673113527,12859700.23494871,196835148.69472745,3012828841.560473,46115430545.46827
15.294172705641845,233.91171875,3577.4862244360215,54714.6921685791,836815.9515622781,12798407.686029501,195741057.50734922,2993697539.102371,45786127191.48664
15.375203250689077,236.39687499999997,3634.650000952739,55883.482509765614,859219.9019439744,13210680.629425747,203116899.75736198,3122963617.419279,48016200362.32862
15.375152438268701,236.3953125,3634.6139653796663,55882.74377197265,859205.7041627904,13210418.677332902,203112200.9373454,3122881051.483948,48014772213.14655
15.33754584345227,235.24031250000002,3608.0090771967884,55338.00462509766,848749.1828226092,13017729.50113442,199660023.00131023,3062294755.88733,46968086204.5854
15.30633549384045,234.28390624999997,3586.028069869963,54888.948727758776,840148.6641312828,12859597.317895293,196833310.86339617,3012796692.438532,46114876949.197014
15.31876402488138,234.66453124999998,3594.770579228152,55067.44222678222,843565.1529258653,12922375.517284306,197954821.19018275,3032423193.3999977,46452975323.2718
15.343814918396273,235.43265625,3612.435103246412,55428.53562893067,850485.1918880459,13049687.375166913,200231987.8274936,3072322561.967637,47141148760.44449
15.475363485230323,239.48687500000003,3706.146440566919,57353.96329726563,887573.4293437448,13735521.438926844,212562186.92656675,3289477105.9040933,50905853890.20933
15.575120384767496,242.584375,3778.2808440885824,58847.178994140624,916551.8971377013,14275406.136806732,222341169.12221354,3462990475.5684257,53936493548.28147
15.57504012835922,242.58187499999997,3778.22243753762,58845.966078515616,916528.2830649462,14274964.787512714,222333149.39642537,3462847723.7138104,53933992255.239975
15.694122108292644,246.30546874999996,3865.5481025027575,60666.3839361572,952105.6373626145,14942462.132762667,234508825.31011623,3680410139.889233,57760806144.020035
15.818842601467404,250.23578125000003,3958.4404368489786,62617.946217797864,990543.4352464955,15669250.692081133,247869410.38096562,3921007188.5350256,62025795554.6578
15.81259387323914,250.03812499999998,3953.7513234512016,62519.06395351561,988588.5676320068,15632149.527692128,247184831.84714264,3908633357.6237745,61805631883.499825
15.843783283988707,251.02546874999996,3977.193125636679,63013.785961157206,998376.7686722248,15818065.158611655,250617996.3450555,3970737221.158533,62911500009.70333
15.962916008674606,254.81468750000002,4067.585454339167,64930.52496572266,1036480.5164269804,16545251.428351568,264110458.89317963,4215973072.3243337,67299224048.34717
16.06255350185642,258.00562499999995,4144.229155342404,66566.9025316406,1069234.433367339,17174635.291990016,275868498.2524611,4431152512.65694,71175624309.43762
16.18152399343152,261.8417187499999,4236.998054434472,68561.08567795406,1109422.8529135277,17952152.513281494,290493186.6274065,4700622469.339758,76063235271.6846
16.19382115962752,262.23984375000003,4246.665130616166,68769.73565002444,1113644.800311357,18034164.731591217,292042038.4266502,4729276541.374243,76585058525.43626
16.19379221337609,262.23890625,4246.642358075513,68769.2439511963,1113634.8472166434,18033971.317401152,292038384.2959785,4729208913.61915,76583826480.79459
16.231359500978346,263.45703125000006,4276.265787279237,69409.60731506349,1126612.289152532,18286449.083454914,296813929.06989264,4817693587.631315,78197716586.40201
16.312552681907267,266.09937499999995,4340.760073310097,70808.8773753906,1155073.542532771,18842198.014043078,307364347.7470062,5013897115.163103,81789460832.76099
16.3066943691847,265.90828125,4336.085072578957,70707.21403732912,1153000.9290032522,18801633.756642062,306592495.3109081,4999510116.920671,81525483472.27226
16.36886812672153,267.93984375,4385.8719682381225,71791.75986877442,1175149.8498772276,19235872.92177694,314869467.1589403,5154056785.05577,84366075832.21223
16.375085877637403,268.14343749999995,4390.871816587396,71900.90307431636,1177383.4625216136,19279755.309701502,315707648.8961978,5169739862.902236,84654934220.06953
16.387552440800913,268.551875,4400.907934637911,72120.10956601561,1181872.0775493884,19367990.64915893,317393962.43603367,5201310203.814096,85236743725.87639
16.425209283293775,269.7875,4431.31614951662,72785.29515625,1195513.705687715,19636562.8169668,322534653.8732244,5297699190.9824295,87015817931.82253
16.387752667769917,268.5584375,4401.069250592745,72123.63435244141,1181944.2812684837,19369410.54851299,317421109.3895246,5201818632.204667,85246117167.1673
16.362581168629845,267.7340625,4380.820329263266,71681.52822275391,1172894.823836242,19191586.75728631,314023896.0708989,5138241488.349466,84074893417.13956
16.344049949446436,267.12796875000004,4365.9528641441675,71357.351688501,1166268.1202570763,19061544.41192866,311542833.9821536,5091871639.996417,83221804420.27118
16.40005716453452,268.961875,4410.990125080389,72340.49020351564,1186388.1746481059,19456833.8835567,319093187.9311821,5233146522.884942,85823902125.6981
