magnitudeScarcityProductByDojiTrend_exp_inv_1,magnitudeScarcityProductByDoji_exp_inv_1,magnitudeScarcityProductByDojiTrend_exp_inv_2,magnitudeScarcityProductByDoji_exp_inv_2,magnitudeScarcityProductByDojiTrend_exp_inv_3,magnitudeScarcityProductByDoji_exp_inv_3,magnitudeScarcityProductByDojiTrend_exp_inv_4,magnitudeScarcityProductByDoji_exp_inv_4,magnitudeScarcityProductByDojiTrend_exp_inv_5,magnitudeScarcityProductByDoji_exp_inv_5,magnitudeScarcityProductByDojiTrend_exp_inv_6,magnitudeScarcityProductByDojiTrend_exp_inv_7,magnitudeScarcityProductByDojiTrend_exp_inv_8,magnitudeScarcityProductByDojiTrend_exp_inv_9,magnitudeScarcityProductByDojiTrend_exp_inv_10,magnitudeScarcityProductByDojiTrend_exp_inv_11,magnitudeScarcityProductByDojiTrend_exp_inv_12,magnitudeScarcityProductByDojiTrend_exp_inv_13
0.07366192861019694,0.07366192861019694,0.005426079726573749,0.005426079726573749,0.00039969549745211237,0.00039969549745211237,2.944234119913465e-05,2.944234119913465e-05,2.1687796355277183e-06,2.1687796355277183e-06,1.5975649068349158e-07,1.1767971211742936e-08,8.668514552862616e-10,6.385395001494198e-11,4.7036051074797435e-12,3.464766236377296e-13,2.552213631550453e-14,1.8800097832524108e-15
0.07422767083506798,0.07422767083506798,0.005509747117599201,0.005509747117599201,0.0004089756954296181,0.0004089756954296181,3.0357313299892707e-05,3.0357313299892707e-05,2.2533526590614673e-06,2.2533526590614673e-06,1.6726111945213974e-07,1.2415403318198392e-08,9.215664707878426e-10,6.84057326462754e-11,5.077598206099385e-12,3.768982882750761e-13,2.7976282080382962e-14,2.0766142574516807e-15
0.07413628899370557,0.07413628899370557,0.00549618934575823,0.00549618934575823,0.00040746708170125764,0.00040746708170125764,3.020809732442627e-05,3.020809732442627e-05,2.23951623319365e-06,2.23951623319365e-06,1.6602942267013936e-07,1.2308805260531542e-08,9.125291439620097e-10,6.765152433194631e-11,5.015432958737875e-12,3.718255872575469e-13,2.7565769192179783e-14,2.0436238311652335e-15
0.07381207325509972,0.07381207325509972,0.005448222158216209,0.005448222158216209,0.0004021445730523122,0.0004021445730523122,2.9683124685278084e-05,2.9683124685278084e-05,2.1909729737100063e-06,2.1909729737100063e-06,1.6172025763542644e-07,1.1936907503419725e-08,8.810878910817652e-10,6.50349239607085e-11,4.800362571527667e-12,3.543247137806386e-13,2.6153441729668708e-14,1.9304397568232862e-15
0.07376551715125548,0.07376551715125548,0.005441351520592167,0.005441351520592167,0.00040138410891825177,0.00040138410891825177,2.9608306370650686e-05,2.9608306370650686e-05,2.1840720314038592e-06,2.1840720314038592e-06,1.61109202892099e-07,1.1884303669162222e-08,8.76651806138314e-10,6.466667384137487e-11,4.77017063836058e-12,3.518741040384025e-13,2.5956175256527518e-14,1.914670691066373e-15
0.07418213952630191,0.07418213952630191,0.005502989824699726,0.005502989824699726,0.00040822355898769477,0.00040822355898769477,3.0282897010748715e-05,3.0282897010748715e-05,2.2464500913119926e-06,2.2464500913119926e-06,1.666464741125799e-07,1.2362191994185665e-08,9.170538513636135e-10,6.802901675498812e-11,5.0465380127556595e-12,3.7436298698702674e-13,2.777104733415477e-14,2.0601157081337965e-15
0.07511770682772488,0.07511770682772488,0.005642669879056025,0.005642669879056025,0.00042386442170056453,0.00042386442170056453,3.1839723364006143e-05,3.1839723364006143e-05,2.3917270051332746e-06,2.3917270051332746e-06,1.79661047983554e-07,1.3495725930790416e-08,1.0137679838964386e-09,7.615192620566637e-11,5.720358067083783e-12,4.297001802328104e-13,3.2278092162548897e-14,2.4246562640246225e-15
0.07577357616449155,0.07577357616449155,0.005741634844756003,0.005741634844756003,0.00043506420521781776,0.00043506420521781776,3.296637069051628e-05,3.296637069051628e-05,2.4979798003846966e-06,2.4979798003846966e-06,1.8928086266181147e-07,1.4342487863385431e-08,1.0867815965045311e-09,8.234932807690379e-11,6.239903083129969e-12,4.728197715285942e-13,3.582724496999953e-14,2.7147584754981458e-15
0.07838379297312824,0.07838379297312824,0.006144019000854227,0.006144019000854227,0.0004815915133859237,0.0004815915133859237,3.7748969482857775e-05,3.7748969482857775e-05,2.958907408893261e-06,2.958907408893261e-06,2.3193038576534433e-07,1.817958334200856e-08,1.4249846970177277e-09,1.1169570548091328e-10,8.75513305440343e-12,6.862605367885494e-13,5.379170384126144e-14,4.216397777565257e-15
0.07951798997417435,0.07951798997417435,0.006323110729532891,0.006323110729532891,0.0005028010555965905,0.0005028010555965905,3.9981729297933976e-05,3.9981729297933976e-05,3.179266749463268e-06,3.179266749463268e-06,2.5280890150904566e-07,2.0102855695578333e-08,1.5985386776532721e-09,1.2711258254296287e-10,1.0107737064242734e-11,8.037469345360445e-13,6.391234068221035e-14,5.08218086559402e-15
